tahun,jenis_event,jumlah
2016,Musik ,59
2016,Pameran ,108
2016,Festival,55
2016,Budaya,37
2016,Edukasi,5
2016,Workshop ,0
2016,Night Life ,10
2016,Fashion ,6
2016,Kesenian Tradisional,0
2016,Shopping,0
2016,Kuliner ,1
2016,Art,0
2016,Talkshow,12
2016,Edukasi,5
2016,Sport,10
2016,Atraksi,17
2016,Teknologi,0
