tahun,bulan,jenis_hotel,jumlah,keterangan
2018,1,Bintang 5,"2,25",%
2018,2,Bintang 5,"1,67",%
2018,3,Bintang 5,"2,00",%
2018,4,Bintang 5,"1,20",%
2018,5,Bintang 5,"2,49",%
2018,6,Bintang 5,"1,91",%
2018,7,Bintang 5,"1,64",%
2018,8,Bintang 5,"2,05",%
2018,9,Bintang 5,"1,72",%
2018,10,Bintang 5,"2,02",%
2018,11,Bintang 5,"1,84",%
2018,12,Bintang 5,1.95,%
2018,1,Bintang 4,2.32,%
2018,2,Bintang 4,"2,20",%
2018,3,Bintang 4,"1,78",%
2018,4,Bintang 4,"1,90",%
2018,5,Bintang 4,"2,13",%
2018,6,Bintang 4,"2,16",%
2018,7,Bintang 4,"2,04",%
2018,8,Bintang 4,"2,14",%
2018,9,Bintang 4,"1,77",%
2018,10,Bintang 4,"2,27",%
2018,11,Bintang 4,"1,69",%
2018,12,Bintang 4,"2,07",%
2018,1,Bintang 3,"2,84",%
2018,2,Bintang 3,"2,00",%
2018,3,Bintang 3,"2,40",%
2018,4,Bintang 3,"1,83",%
2018,5,Bintang 3,"2,04",%
2018,6,Bintang 3,"2,41",%
2018,7,Bintang 3,"2,07",%
2018,8,Bintang 3,"1,98",%
2018,9,Bintang 3,"3,08",%
2018,10,Bintang 3,"2,08",%
2018,11,Bintang 3,"2,23",%
2018,12,Bintang 3,"1,95",%
2018,1,Bintang 2,"2,00",%
2018,2,Bintang 2,"2,12",%
2018,3,Bintang 2,"1,90",%
2018,4,Bintang 2,"1,66",%
2018,5,Bintang 2,"1,84",%
2018,6,Bintang 2,"2,22",%
2018,7,Bintang 2,"1,94",%
2018,8,Bintang 2,"1,85",%
2018,9,Bintang 2,"1,63",%
2018,10,Bintang 2,"1,671",%
2018,11,Bintang 2,"1,79",%
2018,12,Bintang 2,"1,86",%
2018,1,Bintang 1,"1,22",%
2018,2,Bintang 1,"0,87",%
2018,3,Bintang 1,"1,84",%
2018,4,Bintang 1,"1,00",%
2018,5,Bintang 1,"1,00",%
2018,6,Bintang 1,"2,17",%
2018,7,Bintang 1,"1,76",%
2018,8,Bintang 1,"3,16",%
2018,9,Bintang 1,"1,22",%
2018,10,Bintang 1,"1,48",%
2018,11,Bintang 1,"2,39",%
2018,12,Bintang 1,"1,91",%
