tahun,indikator,jumlah
2018,Jumlah Wisatawan Mancanegara ,2811956
2018,Jumlah Wisatawan Nusantara ,34347982
2018,Tingkat Penghunian Kamar Hotel Berbintang (%),6687
2018,Tingkat Penghunian Kamar Hotel Non Bintang (%),
2018,Rata-rata lama menginap wisatawan mancanegara (hari),2.83
2018,Rata-rata lama menginap wisatawan nusantara (hari),2.4
