tahun,indikator,jumlah
2017,Jumlah Wisatawan Mancanegara ,2658055
2017,Jumlah Wisatawan Nusantara ,35464110
2017,Tingkat Penghunian Kamar Hotel Berbintang (%),26
2017,Tingkat Penghunian Kamar Hotel Non Bintang (%),5
2017,Rata-rata lama menginap wisatawan mancanegara (hari),61
2017,Rata-rata lama menginap wisatawan nusantara (hari),91
