tahun,jenis_event,jumlah
2018,Kriya ,8
2018,Musik ,74
2018,Seni Pertunjukan ,55
2018,Festival,100
2018,Wisata Sejarah ,18
2018,Car Free Day ,3
2018,Pameran ,184
2018,Fotografi ,6
2018,Seni Budaya,30
2018,Seminar ,4
2018,Audiensi ,1
2018,Talk Show,2
2018,Workshop ,1
2018,Wisata Edukasi ,2
2018,Kuliner ,19
2018,Aplikasi Pengembangan ,1
2018,Iklan ,3
2018,Sport ,10
2018,Promosi,2
2018,Arsitektur ,3
2018,Seni Rupa ,2
2018,Fashion ,2
