tahun,jenis_event,jumlah
2019,Art ,7
2019,Conference ,4
2019,Kuliner,4
2019,BUDAYA,21
2019,Edukasi,2
2019,Exhibition ,143
2019,Festival,21
2019,JOBS ,4
2019,Music,11
2019,Otomotif,3
2019,Outdoor ,3
2019,Seminar ,9
2019,SPORT ,4
2019,Technology ,4
2019,Wedding ,3
